% Model:              slipdepen_streampot.mph
% Version:            COMSOL 6.2.0.339
% Date:               Mar 8 2025, 21:11
% Dimension:          1
% Nodes:              1601
% Expressions:        1
% Description:        Dependent variable psi
% X                       psi
0                         3.6294303836696473E-4
6.250000000000002E-4      3.629501271214138E-4
0.0012500000000000005     3.6297139366166627E-4
0.0018750000000000008     3.630068388184493E-4
0.002500000000000001      3.6305646397634384E-4
0.003125000000000001      3.6312027107383903E-4
0.0037500000000000016     3.6319826260340795E-4
0.004375000000000002      3.632904416116048E-4
0.005000000000000002      3.633968116991841E-4
0.0056250000000000015     3.635173770212411E-4
0.006250000000000002      3.6365214228737444E-4
0.006875000000000003      3.6380111276186974E-4
0.007500000000000003      3.639642942639055E-4
0.008125000000000004      3.641416931677803E-4
0.008750000000000004      3.643333164031619E-4
0.009375000000000005      3.645391714553578E-4
0.010000000000000004      3.6475926636560756E-4
0.010625000000000002      3.649936097313973E-4
0.011250000000000003      3.652422107067951E-4
0.011875000000000004      3.6550507900280887E-4
0.012500000000000004      3.657822248877655E-4
0.013125000000000005      3.6607365918771203E-4
0.013750000000000005      3.663793932868387E-4
0.014375000000000006      3.6669943912792343E-4
0.015000000000000006      3.6703380921279834E-4
0.015625000000000007      3.673825166028384E-4
0.016250000000000007      3.6774557491947113E-4
0.016875000000000008      3.6812299834470933E-4
0.01750000000000001       3.685148016217043E-4
0.01812500000000001       3.6892100005532264E-4
0.01875000000000001       3.693416095127433E-4
0.01937500000000001       3.697766464240778E-4
0.020000000000000007      3.70226127783012E-4
0.020625000000000004      3.706900711474698E-4
0.021250000000000005      3.711684946402992E-4
0.021875000000000006      3.716614169499799E-4
0.022500000000000006      3.721688573313536E-4
0.023125000000000007      3.7269083560637626E-4
0.023750000000000007      3.732273721648919E-4
0.024375000000000008      3.737784879654296E-4
0.02500000000000001       3.7434420453602183E-4
0.02562500000000001       3.749245439750456E-4
0.02625000000000001       3.755195289520857E-4
0.02687500000000001       3.7612918270882003E-4
0.02750000000000001       3.7675352905992767E-4
0.02812500000000001       3.7739259239401914E-4
0.02875000000000001       3.78046397674589E-4
0.029375000000000012      3.787149704409908E-4
0.030000000000000013      3.7939833680943524E-4
0.030625000000000013      3.8009652347400987E-4
0.031250000000000014      3.8080955770772204E-4
0.031875000000000014      3.815374673635642E-4
0.032500000000000015      3.822802808756018E-4
0.033125000000000016      3.8303802726008426E-4
0.033750000000000016      3.838107361165784E-4
0.03437500000000002       3.8459843762912423E-4
0.03500000000000002       3.8540116256741456E-4
0.03562500000000002       3.8621894228799673E-4
0.03625000000000002       3.870518087354974E-4
0.03687500000000002       3.8789979444387053E-4
0.03750000000000002       3.8876293253766814E-4
0.03812500000000002       3.8964125673333433E-4
0.03875000000000002       3.905348013405223E-4
0.03937500000000002       3.914436012634345E-4
0.040000000000000015      3.9236769200218615E-4
0.04062500000000001       3.9330710965419216E-4
0.04125000000000001       3.9426189091557674E-4
0.04187500000000001       3.9523207308260727E-4
0.04250000000000001       3.9621769405315087E-4
0.04312500000000001       3.9721879232815514E-4
0.04375000000000001       3.982354070131518E-4
0.04437500000000001       3.9926757781978434E-4
0.04500000000000001       4.0031534506735934E-4
0.04562500000000001       4.013787496844215E-4
0.04625000000000001       4.024578332103522E-4
0.046875000000000014      4.035526377969923E-4
0.047500000000000014      4.0466320621028863E-4
0.048125000000000015      4.0578958183196454E-4
0.048750000000000016      4.069318086612146E-4
0.049375000000000016      4.080899313164234E-4
0.05000000000000001       4.0926399503690795E-4
0.05062500000000002       4.104540456846856E-4
0.05125000000000002       4.11660129746265E-4
0.05187500000000002       4.128822943344622E-4
0.05250000000000002       4.1412058719024074E-4
0.05312500000000002       4.15375056684577E-4
0.05375000000000002       4.1664575182034924E-4
0.05437500000000002       4.179327222342522E-4
0.05500000000000002       4.1923601819873556E-4
0.05562500000000002       4.205556906239682E-4
0.05625000000000002       4.2189179105982656E-4
0.05687500000000002       4.2324437169790843E-4
0.05750000000000002       4.246134853735718E-4
0.058125000000000024      4.2599918556799834E-4
0.058750000000000024      4.2740152641028314E-4
0.059375000000000025      4.288205626795486E-4
0.060000000000000026      4.302563498070844E-4
0.060625000000000026      4.3170894387851305E-4
0.06125000000000003       4.3317840163598054E-4
0.06187500000000003       4.346647804803727E-4
0.06250000000000003       4.3616813847355745E-4
0.06312500000000003       4.376885343406533E-4
0.06375000000000003       4.392260274723227E-4
0.06437500000000002       4.4078067792709244E-4
0.06500000000000002       4.4235254643369936E-4
0.06562500000000002       4.439416943934631E-4
0.06625                   4.4554818388268375E-4
0.066875                  4.4717207765506756E-4
0.0675                    4.4881343914417794E-4
0.068125                  4.504723324659131E-4
0.06875                   4.5214882242101083E-4
0.069375                  4.5384297449758E-4
0.07                      4.555548548736582E-4
0.07062500000000001       4.572845304197973E-4
0.07125000000000001       4.590320687016752E-4
0.07187500000000001       4.6079753798273544E-4
0.07250000000000001       4.6258100722685366E-4
0.07312500000000001       4.643825461010314E-4
0.07375000000000001       4.662022249781175E-4
0.07437500000000001       4.6804011493955725E-4
0.07500000000000001       4.6989628777816873E-4
0.07562500000000001       4.7177081600094747E-4
0.07625000000000001       4.736637728318987E-4
0.07687500000000001       4.755752322148976E-4
0.07750000000000001       4.7750526881657764E-4
0.07812500000000001       4.7945395802924764E-4
0.07875000000000001       4.8142137597383653E-4
0.07937500000000003       4.834075995028668E-4
0.08000000000000003       4.854127062034566E-4
0.08062500000000003       4.8743677440035054E-4
0.08125000000000002       4.894798831589792E-4
0.08187500000000002       4.91542112288548E-4
