% Model:              slipdepen_streampot.mph
% Version:            COMSOL 6.2.0.339
% Date:               Mar 8 2025, 21:20
% Dimension:          1
% Nodes:              401
% Expressions:        1
% Description:        Dependent variable psi
% X                       psi
0                         8.895432156138425E-5
0.002500000000000001      8.898212123474818E-5
0.005000000000000002      8.906553763054082E-5
0.007500000000000003      8.920462288672517E-5
0.010000000000000004      8.939946393611422E-5
0.012500000000000004      8.965018256070692E-5
0.015000000000000006      8.995693546780573E-5
0.01750000000000001       9.031991438796395E-5
0.020000000000000007      9.073934619482338E-5
0.022500000000000006      9.121549304691795E-5
0.02500000000000001       9.174865255153118E-5
0.02750000000000001       9.233915795071048E-5
0.030000000000000013      9.298737832955427E-5
0.032500000000000015      9.369371884690222E-5
0.03500000000000002       9.44586209885727E-5
0.03750000000000002       9.528256284330575E-5
0.040000000000000015      9.616605940158425E-5
0.04250000000000001       9.710966287751958E-5
0.04500000000000001       9.811396305400356E-5
0.047500000000000014      9.917958765134185E-5
0.05000000000000001       1.0030720271959972E-4
0.05250000000000002       1.0149751305490492E-4
0.05500000000000002       1.027512626399683E-4
0.05750000000000002       1.0406923510909719E-4
0.060000000000000026      1.0545225423799241E-4
0.06250000000000003       1.0690118445863489E-4
0.06500000000000002       1.084169313995838E-4
0.0675                    1.1000044245202398E-4
0.07                      1.1165270736191624E-4
0.07250000000000001       1.1337475884862084E-4
0.07500000000000001       1.1516767325038071E-4
0.07750000000000001       1.1703257119706797E-4
0.08000000000000003       1.1897061831061414E-4
0.08250000000000002       1.209830259335617E-4
0.08500000000000002       1.2307105188619284E-4
0.08750000000000002       1.2523600125270793E-4
0.09000000000000002       1.2747922719694589E-4
0.09250000000000003       1.2980213180815544E-4
0.09500000000000003       1.3220616697734683E-4
0.09750000000000003       1.3469283530477083E-4
0.10000000000000002       1.37263691039093E-4
0.10250000000000001       1.3992034104884975E-4
0.10500000000000001       1.4266444582679356E-4
0.10750000000000001       1.4549772052775497E-4
0.11000000000000001       1.484219360406705E-4
0.11250000000000002       1.5143892009544568E-4
0.11500000000000003       1.545505584053462E-4
0.11750000000000005       1.577587958456298E-4
0.12000000000000005       1.6106563766915698E-4
0.12250000000000005       1.6447315075973954E-4
0.12500000000000006       1.6798346492401004E-4
0.12750000000000006       1.7159877422262074E-4
0.13000000000000006       1.753213383416029E-4
0.13250000000000006       1.7915348400474444E-4
0.13500000000000006       1.8309760642786808E-4
0.13750000000000007       1.8715617081591941E-4
0.14000000000000004       1.913317139038006E-4
0.14250000000000004       1.9562684554191235E-4
0.14500000000000005       2.0004425032739577E-4
0.14750000000000005       2.0458668928209297E-4
0.15000000000000005       2.0925700157827624E-4
0.15250000000000002       2.1405810631322308E-4
0.15500000000000003       2.189930043337478E-4
0.15750000000000003       2.2406478011182846E-4
0.16000000000000003       2.2927660367250263E-4
0.16250000000000003       2.346317325752371E-4
0.16500000000000004       2.401335139500085E-4
0.16750000000000004       2.457853865893693E-4
0.17000000000000004       2.515908830978056E-4
0.17250000000000004       2.5755363209973035E-4
0.17500000000000004       2.6367736050749254E-4
0.17750000000000005       2.6996589585081925E-4
0.18000000000000005       2.764231686691472E-4
0.18250000000000005       2.830532149683383E-4
0.18500000000000005       2.8986017874331585E-4
0.18750000000000006       2.9684831456819707E-4
0.19000000000000003       3.0402199025554116E-4
0.19250000000000006       3.1138568958637586E-4
0.19500000000000006       3.189440151127071E-4
0.19750000000000006       3.267016910342654E-4
0.20000000000000007       3.3466356615128576E-4
0.20250000000000007       3.4283461689516665E-4
0.20500000000000007       3.5121995043890385E-4
0.20750000000000007       3.598248078892408E-4
0.21000000000000005       3.6865456756253294E-4
0.21250000000000002       3.777147483463724E-4
0.21500000000000002       3.8701101314907464E-4
0.21750000000000003       3.9654917243918213E-4
0.22000000000000003       4.063351878771991E-4
0.22250000000000003       4.1637517604182605E-4
0.22500000000000003       4.266754122530229E-4
0.22750000000000004       4.3724233449429154E-4
0.23                      4.480825474366282E-4
0.23250000000000004       4.592028265666614E-4
0.23500000000000004       4.706101224215546E-4
0.23750000000000004       4.8231156493332345E-4
0.24000000000000005       4.943144678852785E-4
0.24250000000000005       5.066263334833833E-4
0.24500000000000008       5.192548570453822E-4
0.2475000000000001        5.32207931810629E-4
0.2500000000000001        5.454936538736254E-4
0.2525000000000001        5.591203272443494E-4
0.2550000000000001        5.730964690385388E-4
0.2575000000000001        5.874308148011727E-4
0.2600000000000001        6.021323239664795E-4
0.2625000000000001        6.172101854578835E-4
0.2650000000000001        6.326738234313902E-4
0.2675000000000001        6.48532903166E-4
0.27000000000000013       6.647973371048338E-4
0.27250000000000013       6.814772910507429E-4
0.27500000000000013       6.985831905202795E-4
0.2775000000000001        7.161257272599969E-4
0.2800000000000001        7.341158659291546E-4
0.2825000000000001        7.525648509530009E-4
0.28500000000000003       7.714842135509219E-4
0.28750000000000003       7.908857789438483E-4
0.29000000000000004       8.107816737454204E-4
0.29250000000000004       8.311843335415381E-4
0.29500000000000004       8.521065106630302E-4
0.29750000000000004       8.735612821562992E-4
0.30000000000000004       8.955620579569275E-4
0.30250000000000005       9.181225892713514E-4
0.30500000000000005       9.412569771718437E-4
0.3075000000000001        9.649796814101751E-4
0.3100000000000001        9.893055294554636E-4
0.3125000000000001        0.0010142497257618654
0.3150000000000001        0.0010398278612718938
0.3175000000000001        0.0010660559231613082
0.3200000000000001        0.0010929503048316693
0.3225000000000001        0.0011205278161567976
0.32500000000000007       0.0011488056939895476
0.32750000000000007       0.001177801612935463
0.33000000000000007       0.0012075336964000411
