% Model:              slipdepen_streampot.mph
% Version:            COMSOL 6.2.0.339
% Date:               Mar 9 2025, 13:56
% Dimension:          1
% Nodes:              401
% Expressions:        1
% Description:        Dependent variable u
% X                       u
0                         0.4977261267255697
0.002500000000000001      0.4977230017890593
0.005000000000000002      0.497713626979568
0.007500000000000003      0.49769800229721467
0.010000000000000004      0.497676127742198
0.012500000000000004      0.4976480033147961
0.015000000000000006      0.4976136290153667
0.01750000000000001       0.49757300484434785
0.020000000000000007      0.49752613080225766
0.022500000000000006      0.49747300688969487
0.02500000000000001       0.4974136331073391
0.02750000000000001       0.4973480094559514
0.030000000000000013      0.4972761359363748
0.032500000000000015      0.49719801254953455
0.03500000000000002       0.497113639296439
0.03750000000000002       0.49702301617817984
0.040000000000000015      0.4969261431959334
0.04250000000000001       0.49682302035096076
0.04500000000000001       0.49671364764460896
0.047500000000000014      0.49659802507831147
0.05000000000000001       0.4964761526535896
0.05250000000000002       0.49634803037205283
0.05500000000000002       0.49621365823540037
0.05750000000000002       0.4960730362454219
0.060000000000000026      0.4959261644039987
0.06250000000000003       0.4957730427131051
0.06500000000000002       0.4956136711748093
0.0675                    0.49544804979127516
0.07                      0.4952761785647628
0.07250000000000001       0.4950980574976311
0.07500000000000001       0.49491368659233786
0.07750000000000001       0.4947230658514427
0.08000000000000003       0.49452619527760766
0.08250000000000002       0.49432307487359917
0.08500000000000002       0.4941137046422898
0.08750000000000002       0.4938980845866603
0.09000000000000002       0.49367621470980094
0.09250000000000003       0.4934480950149139
0.09500000000000003       0.493213725505315
0.09750000000000003       0.492973106184436
0.10000000000000002       0.4927262370558265
0.10250000000000001       0.4924731181231563
0.10500000000000001       0.4922137493902177
0.10750000000000001       0.4919481308609278
0.11000000000000001       0.49167626253933105
0.11250000000000002       0.49139814442960156
0.11500000000000003       0.49111377653604604
0.11750000000000005       0.49082315886310635
0.12000000000000005       0.49052629141536197
0.12250000000000005       0.4902231741975333
0.12500000000000006       0.48991380721448463
0.12750000000000006       0.48959819047122666
0.13000000000000006       0.4892763239729202
0.13250000000000006       0.48894820772487907
0.13500000000000006       0.4886138417325735
0.13750000000000007       0.48827322600163364
0.14000000000000004       0.4879263605378529
0.14250000000000004       0.4875732453471918
0.14500000000000005       0.4872138804357814
0.14750000000000005       0.48684826580992746
0.15000000000000005       0.48647640147611415
0.15250000000000002       0.48609828744100814
0.15500000000000003       0.48571392371146294
0.15750000000000003       0.4853233102945229
0.16000000000000003       0.4849264471974278
0.16250000000000003       0.48452333442761736
0.16500000000000004       0.4841139719927358
0.16750000000000004       0.48369835990063687
0.17000000000000004       0.4832764981593882
0.17250000000000004       0.48284838677727715
0.17500000000000004       0.4824140257628153
0.17750000000000005       0.48197341512474395
0.18000000000000005       0.4815265548720398
0.18250000000000005       0.4810734450139205
0.18500000000000005       0.48061408555985025
0.18750000000000006       0.4801484765195455
0.19000000000000003       0.47967661790298183
0.19250000000000006       0.4791985097203993
0.19500000000000006       0.47871415198230943
0.19750000000000006       0.4782235446995015
0.20000000000000007       0.47772668788304923
0.20250000000000007       0.47722358154431793
0.20500000000000007       0.47671422569497157
0.20750000000000007       0.4761986203469799
0.21000000000000005       0.47567676551262605
0.21250000000000002       0.47514866120451427
0.21500000000000002       0.47461430743557753
0.21750000000000003       0.4740737042190861
0.22000000000000003       0.47352685156865526
0.22250000000000003       0.4729737494982543
0.22500000000000003       0.47241439802221497
0.22750000000000004       0.47184879715524036
0.23                      0.4712769469124146
0.23250000000000004       0.47069884730921163
0.23500000000000004       0.4701144983615053
0.23750000000000004       0.4695239000855791
0.24000000000000005       0.4689270524981365
0.24250000000000005       0.4683239556163112
0.24500000000000008       0.46771460945767795
0.2475000000000001        0.4670990140402637
0.2500000000000001        0.46647716938255834
0.2525000000000001        0.46584907550352694
0.2550000000000001        0.46521473242262107
0.2575000000000001        0.4645741401597912
0.2600000000000001        0.4639272987354991
0.2625000000000001        0.4632742081707308
0.2650000000000001        0.4626148684870093
0.2675000000000001        0.4619492797064084
0.27000000000000013       0.4612774418515666
0.27250000000000013       0.4605993549457007
0.27500000000000013       0.45991501901262083
0.2775000000000001        0.45922443407674507
0.2800000000000001        0.4585276001631148
0.2825000000000001        0.45782451729741036
0.28500000000000003       0.45711518550596714
0.28750000000000003       0.4563996048157918
0.29000000000000004       0.4556777752545794
0.29250000000000004       0.4549496968507308
0.29500000000000004       0.45421536963336995
0.29750000000000004       0.4534747936323627
0.30000000000000004       0.45272796887833505
0.30250000000000005       0.45197489540269226
0.30500000000000005       0.4512155732376388
0.3075000000000001        0.4504500024161982
0.3100000000000001        0.449678182972234
0.3125000000000001        0.4489001149404704
0.3150000000000001        0.4481157983565144
0.3175000000000001        0.44732523325687806
0.3200000000000001        0.44652841967900103
0.3225000000000001        0.44572535766127414
0.32500000000000007       0.44491604724306344
0.32750000000000007       0.44410048846473454
0.33000000000000007       0.44327868136767834
0.3325000000000001        0.4424506259943363
0.3350000000000001        0.44161632238822746
0.3375000000000001        0.44077577059397527
0.3400000000000001        0.4399289706573358
0.3425000000000001        0.4390759226252262
0.3450000000000001        0.4382166265457538
0.34750000000000014       0.43735108246824667
0.35000000000000014       0.43647929044328404
0.35250000000000015       0.43560125052272797
0.3550000000000001        0.4347169627597561
0.3575000000000001        0.43382642720889425
0.3600000000000001        0.4329296439260513
0.3625000000000001        0.4320266129685535
0.3650000000000001        0.4311173343951806
0.3675000000000001        0.43020180826620225
0.3700000000000001        0.42928003464341635
0.3725000000000001        0.4283520135901871
0.3750000000000001        0.42741774517148456
